artifact_path,batch_status,build_passed,condition,configure_passed,direct_test_passed,error,experiment_id,failed_stage,full_test_passed,granularity,overall_pass,pair_id,restored,run_id,target_id,terminal_artifact_kind
experiments/v2/formal/non-rag/echo-web-server-block-deque-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,True,full_source_non_rag,True,False,,v2/formal/non-rag/echo-web-server-block-deque-001,,False,module_files,False,echo-web-server-block-deque,True,echo-web-server-block-deque-full-source-non-rag-formal-001,echo-web-server-block-deque-v2-formal,evaluation
experiments/v2/formal/rag/echo-web-server-block-deque-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,True,full_source_design_knowledge_rag_required_artifacts,True,False,,v2/formal/rag/echo-web-server-block-deque-001,,False,module_files,False,echo-web-server-block-deque,True,echo-web-server-block-deque-full-source-rag-formal-001,echo-web-server-block-deque-v2-formal,evaluation
experiments/v2/formal/non-rag/echo-web-server-buffer-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_non_rag,True,False,,v2/formal/non-rag/echo-web-server-buffer-001,,False,module_files,False,echo-web-server-buffer,True,echo-web-server-buffer-full-source-non-rag-formal-001,echo-web-server-buffer-v2-formal,evaluation
experiments/v2/formal/rag/echo-web-server-buffer-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_design_knowledge_rag_required_artifacts,True,False,,v2/formal/rag/echo-web-server-buffer-001,,False,module_files,False,echo-web-server-buffer,True,echo-web-server-buffer-full-source-rag-formal-001,echo-web-server-buffer-v2-formal,evaluation
experiments/v2/formal/non-rag/echo-web-server-config-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_non_rag,True,False,,v2/formal/non-rag/echo-web-server-config-001,,False,module_files,False,echo-web-server-config,True,echo-web-server-config-full-source-non-rag-formal-001,echo-web-server-config-v2-formal,evaluation
experiments/v2/formal/rag/echo-web-server-config-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_design_knowledge_rag_required_artifacts,True,False,,v2/formal/rag/echo-web-server-config-001,,False,module_files,False,echo-web-server-config,True,echo-web-server-config-full-source-rag-formal-001,echo-web-server-config-v2-formal,evaluation
experiments/v2/formal/non-rag/echo-web-server-heap-timer-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_non_rag,True,False,,v2/formal/non-rag/echo-web-server-heap-timer-001,,False,module_files,False,echo-web-server-heap-timer,True,echo-web-server-heap-timer-full-source-non-rag-formal-001,echo-web-server-heap-timer-v2-formal,evaluation
experiments/v2/formal/rag/echo-web-server-heap-timer-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_design_knowledge_rag_required_artifacts,True,False,,v2/formal/rag/echo-web-server-heap-timer-001,,False,module_files,False,echo-web-server-heap-timer,True,echo-web-server-heap-timer-full-source-rag-formal-001,echo-web-server-heap-timer-v2-formal,evaluation
experiments/v2/formal/non-rag/echo-web-server-http-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_non_rag,True,False,,v2/formal/non-rag/echo-web-server-http-001,,False,module_files,False,echo-web-server-http,True,echo-web-server-http-full-source-non-rag-formal-001,echo-web-server-http-v2-formal,evaluation
experiments/v2/formal/rag/echo-web-server-http-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_design_knowledge_rag_required_artifacts,True,False,,v2/formal/rag/echo-web-server-http-001,,False,module_files,False,echo-web-server-http,True,echo-web-server-http-full-source-rag-formal-001,echo-web-server-http-v2-formal,evaluation
experiments/v2/formal/non-rag/echo-web-server-io-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_non_rag,True,False,,v2/formal/non-rag/echo-web-server-io-001,,False,module_files,False,echo-web-server-io,True,echo-web-server-io-full-source-non-rag-formal-001,echo-web-server-io-v2-formal,evaluation
experiments/v2/formal/rag/echo-web-server-io-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_design_knowledge_rag_required_artifacts,True,False,,v2/formal/rag/echo-web-server-io-001,,False,module_files,False,echo-web-server-io,True,echo-web-server-io-full-source-rag-formal-001,echo-web-server-io-v2-formal,evaluation
experiments/v2/formal/non-rag/echo-web-server-ip-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,True,full_source_non_rag,True,True,,v2/formal/non-rag/echo-web-server-ip-001,,True,module_files,True,echo-web-server-ip,True,echo-web-server-ip-full-source-non-rag-formal-001,echo-web-server-ip-v2-formal,evaluation
