artifact_path,batch_status,build_passed,condition,configure_passed,direct_test_passed,error,experiment_id,failed_stage,full_test_passed,granularity,overall_pass,pair_id,reference_transition,restored,run_id,target_id,terminal_artifact_kind,v4_overall_pass
experiments/v5/evaluation/rag/echo-web-server-block-deque-001/evaluation/evaluation_manifest.json,executed_once,True,full_source_source_faithful_direct_include_rag_v5,True,False,,v5/evaluation/rag/echo-web-server-block-deque-001,,False,module_files,False,echo-web-server-block-deque,FAIL->FAIL,True,echo-web-server-block-deque-source-faithful-direct-include-rag-v5-eval-001,echo-web-server-block-deque-v5-eval,evaluation,False
experiments/v5/evaluation/rag/echo-web-server-buffer-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_direct_include_rag_v5,True,False,,v5/evaluation/rag/echo-web-server-buffer-001,,False,module_files,False,echo-web-server-buffer,FAIL->FAIL,True,echo-web-server-buffer-source-faithful-direct-include-rag-v5-eval-001,echo-web-server-buffer-v5-eval,evaluation,False
experiments/v5/evaluation/rag/echo-web-server-config-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_direct_include_rag_v5,True,False,,v5/evaluation/rag/echo-web-server-config-001,,False,module_files,False,echo-web-server-config,FAIL->FAIL,True,echo-web-server-config-source-faithful-direct-include-rag-v5-eval-001,echo-web-server-config-v5-eval,evaluation,False
experiments/v5/evaluation/rag/echo-web-server-heap-timer-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_direct_include_rag_v5,True,False,,v5/evaluation/rag/echo-web-server-heap-timer-001,,False,module_files,False,echo-web-server-heap-timer,FAIL->FAIL,True,echo-web-server-heap-timer-source-faithful-direct-include-rag-v5-eval-001,echo-web-server-heap-timer-v5-eval,evaluation,False
experiments/v5/evaluation/rag/echo-web-server-http-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_direct_include_rag_v5,True,False,,v5/evaluation/rag/echo-web-server-http-001,,False,module_files,False,echo-web-server-http,FAIL->FAIL,True,echo-web-server-http-source-faithful-direct-include-rag-v5-eval-001,echo-web-server-http-v5-eval,evaluation,False
experiments/v5/evaluation/rag/echo-web-server-io-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_direct_include_rag_v5,True,False,,v5/evaluation/rag/echo-web-server-io-001,,False,module_files,False,echo-web-server-io,FAIL->FAIL,True,echo-web-server-io-source-faithful-direct-include-rag-v5-eval-001,echo-web-server-io-v5-eval,evaluation,False
experiments/v5/evaluation/rag/echo-web-server-ip-001/evaluation/evaluation_manifest.json,executed_once,True,full_source_source_faithful_direct_include_rag_v5,True,True,,v5/evaluation/rag/echo-web-server-ip-001,,True,module_files,True,echo-web-server-ip,PASS->PASS,True,echo-web-server-ip-source-faithful-direct-include-rag-v5-eval-001,echo-web-server-ip-v5-eval,evaluation,True
experiments/v5/evaluation/rag/echo-web-server-log-001/evaluation/pipeline_failure.json,executed_once,,full_source_source_faithful_direct_include_rag_v5,,,timed out,v5/evaluation/rag/echo-web-server-log-001,code_regeneration,,module_files,,echo-web-server-log,FAIL->FAIL,True,echo-web-server-log-source-faithful-direct-include-rag-v5-eval-001,echo-web-server-log-v5-eval,pipeline_failure,False
experiments/v5/evaluation/rag/echo-web-server-thread-pool-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_direct_include_rag_v5,True,False,,v5/evaluation/rag/echo-web-server-thread-pool-001,,False,module_files,False,echo-web-server-thread-pool,FAIL->FAIL,True,echo-web-server-thread-pool-source-faithful-direct-include-rag-v5-eval-001,echo-web-server-thread-pool-v5-eval,evaluation,False
experiments/v5/evaluation/rag/echo-web-server-util-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_direct_include_rag_v5,True,False,,v5/evaluation/rag/echo-web-server-util-001,,False,module_files,False,echo-web-server-util,FAIL->FAIL,True,echo-web-server-util-source-faithful-direct-include-rag-v5-eval-001,echo-web-server-util-v5-eval,evaluation,False
