artifact_path,batch_status,build_passed,condition,configure_passed,direct_test_passed,error,experiment_id,failed_stage,full_test_passed,granularity,overall_pass,pair_id,restored,run_id,target_id,terminal_artifact_kind
experiments/v3/formal/non-rag/echo-web-server-block-deque-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,True,full_source_prompt_preserving_non_rag,True,False,,v3/formal/non-rag/echo-web-server-block-deque-001,,False,module_files,False,echo-web-server-block-deque,True,echo-web-server-block-deque-prompt-preserving-non-rag-formal-001,echo-web-server-block-deque-v3-formal,evaluation
experiments/v3/formal/rag/echo-web-server-block-deque-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,True,full_source_prompt_preserving_detailed_design_rag,True,False,,v3/formal/rag/echo-web-server-block-deque-001,,False,module_files,False,echo-web-server-block-deque,True,echo-web-server-block-deque-prompt-preserving-detailed-design-rag-formal-001,echo-web-server-block-deque-v3-formal,evaluation
experiments/v3/formal/non-rag/echo-web-server-buffer-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_prompt_preserving_non_rag,True,False,,v3/formal/non-rag/echo-web-server-buffer-001,,False,module_files,False,echo-web-server-buffer,True,echo-web-server-buffer-prompt-preserving-non-rag-formal-001,echo-web-server-buffer-v3-formal,evaluation
experiments/v3/formal/rag/echo-web-server-buffer-001/evaluation/pipeline_failure.json,existing_terminal_artifact,,full_source_prompt_preserving_detailed_design_rag,,,"Design output contract violation: level-2 headings differ: expected=['責務', '公開インターフェース', '入力', '出力', '状態', '処理手順', '例外・失敗条件', '依存関係', '重要な不変条件', '追加詳細設計情報'], actual=['追加詳細設計情報']",v3/formal/rag/echo-web-server-buffer-001,design_generation,,module_files,,echo-web-server-buffer,True,echo-web-server-buffer-prompt-preserving-detailed-design-rag-formal-001,echo-web-server-buffer-v3-formal,pipeline_failure
experiments/v3/formal/non-rag/echo-web-server-config-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_prompt_preserving_non_rag,True,False,,v3/formal/non-rag/echo-web-server-config-001,,False,module_files,False,echo-web-server-config,True,echo-web-server-config-prompt-preserving-non-rag-formal-001,echo-web-server-config-v3-formal,evaluation
experiments/v3/formal/rag/echo-web-server-config-001/evaluation/pipeline_failure.json,existing_terminal_artifact,,full_source_prompt_preserving_detailed_design_rag,,,"Design output contract violation: level-2 headings differ: expected=['責務', '公開インターフェース', '入力', '出力', '状態', '処理手順', '例外・失敗条件', '依存関係', '重要な不変条件', '追加詳細設計情報'], actual=['追加詳細設計情報']",v3/formal/rag/echo-web-server-config-001,design_generation,,module_files,,echo-web-server-config,True,echo-web-server-config-prompt-preserving-detailed-design-rag-formal-001,echo-web-server-config-v3-formal,pipeline_failure
experiments/v3/formal/non-rag/echo-web-server-heap-timer-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_prompt_preserving_non_rag,True,False,,v3/formal/non-rag/echo-web-server-heap-timer-001,,False,module_files,False,echo-web-server-heap-timer,True,echo-web-server-heap-timer-prompt-preserving-non-rag-formal-001,echo-web-server-heap-timer-v3-formal,evaluation
experiments/v3/formal/rag/echo-web-server-heap-timer-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_prompt_preserving_detailed_design_rag,True,False,,v3/formal/rag/echo-web-server-heap-timer-001,,False,module_files,False,echo-web-server-heap-timer,True,echo-web-server-heap-timer-prompt-preserving-detailed-design-rag-formal-001,echo-web-server-heap-timer-v3-formal,evaluation
experiments/v3/formal/non-rag/echo-web-server-http-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_prompt_preserving_non_rag,True,False,,v3/formal/non-rag/echo-web-server-http-001,,False,module_files,False,echo-web-server-http,True,echo-web-server-http-prompt-preserving-non-rag-formal-001,echo-web-server-http-v3-formal,evaluation
experiments/v3/formal/rag/echo-web-server-http-001/evaluation/evaluation_manifest.json,existing_terminal_artifact,False,full_source_prompt_preserving_detailed_design_rag,True,False,,v3/formal/rag/echo-web-server-http-001,,False,module_files,False,echo-web-server-http,True,echo-web-server-http-prompt-preserving-detailed-design-rag-formal-001,echo-web-server-http-v3-formal,evaluation
