artifact_path,batch_status,build_passed,condition,configure_passed,direct_test_passed,error,experiment_id,failed_stage,full_test_passed,granularity,overall_pass,pair_id,reference_transition,restored,run_id,target_id,terminal_artifact_kind,v3_non_rag_overall_pass
experiments/v4/evaluation/rag/echo-web-server-block-deque-001/evaluation/evaluation_manifest.json,executed_once,True,full_source_source_faithful_detailed_design_rag_v4,True,False,,v4/evaluation/rag/echo-web-server-block-deque-001,,False,module_files,False,echo-web-server-block-deque,FAIL->FAIL,True,echo-web-server-block-deque-source-faithful-detailed-design-rag-v4-eval-001,echo-web-server-block-deque-v4-eval,evaluation,False
experiments/v4/evaluation/rag/echo-web-server-buffer-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_detailed_design_rag_v4,True,False,,v4/evaluation/rag/echo-web-server-buffer-001,,False,module_files,False,echo-web-server-buffer,FAIL->FAIL,True,echo-web-server-buffer-source-faithful-detailed-design-rag-v4-eval-001,echo-web-server-buffer-v4-eval,evaluation,False
experiments/v4/evaluation/rag/echo-web-server-config-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_detailed_design_rag_v4,True,False,,v4/evaluation/rag/echo-web-server-config-001,,False,module_files,False,echo-web-server-config,FAIL->FAIL,True,echo-web-server-config-source-faithful-detailed-design-rag-v4-eval-001,echo-web-server-config-v4-eval,evaluation,False
experiments/v4/evaluation/rag/echo-web-server-heap-timer-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_detailed_design_rag_v4,True,False,,v4/evaluation/rag/echo-web-server-heap-timer-001,,False,module_files,False,echo-web-server-heap-timer,FAIL->FAIL,True,echo-web-server-heap-timer-source-faithful-detailed-design-rag-v4-eval-001,echo-web-server-heap-timer-v4-eval,evaluation,False
experiments/v4/evaluation/rag/echo-web-server-http-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_detailed_design_rag_v4,True,False,,v4/evaluation/rag/echo-web-server-http-001,,False,module_files,False,echo-web-server-http,FAIL->FAIL,True,echo-web-server-http-source-faithful-detailed-design-rag-v4-eval-001,echo-web-server-http-v4-eval,evaluation,False
experiments/v4/evaluation/rag/echo-web-server-io-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_detailed_design_rag_v4,True,False,,v4/evaluation/rag/echo-web-server-io-001,,False,module_files,False,echo-web-server-io,FAIL->FAIL,True,echo-web-server-io-source-faithful-detailed-design-rag-v4-eval-001,echo-web-server-io-v4-eval,evaluation,False
experiments/v4/evaluation/rag/echo-web-server-ip-001/evaluation/evaluation_manifest.json,executed_once,True,full_source_source_faithful_detailed_design_rag_v4,True,True,,v4/evaluation/rag/echo-web-server-ip-001,,True,module_files,True,echo-web-server-ip,PASS->PASS,True,echo-web-server-ip-source-faithful-detailed-design-rag-v4-eval-001,echo-web-server-ip-v4-eval,evaluation,True
experiments/v4/evaluation/rag/echo-web-server-log-001/evaluation/pipeline_failure.json,executed_once,,full_source_source_faithful_detailed_design_rag_v4,,,timed out,v4/evaluation/rag/echo-web-server-log-001,code_regeneration,,module_files,,echo-web-server-log,FAIL->FAIL,True,echo-web-server-log-source-faithful-detailed-design-rag-v4-eval-001,echo-web-server-log-v4-eval,pipeline_failure,False
experiments/v4/evaluation/rag/echo-web-server-thread-pool-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_detailed_design_rag_v4,True,False,,v4/evaluation/rag/echo-web-server-thread-pool-001,,False,module_files,False,echo-web-server-thread-pool,FAIL->FAIL,True,echo-web-server-thread-pool-source-faithful-detailed-design-rag-v4-eval-001,echo-web-server-thread-pool-v4-eval,evaluation,False
experiments/v4/evaluation/rag/echo-web-server-util-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_detailed_design_rag_v4,True,False,,v4/evaluation/rag/echo-web-server-util-001,,False,module_files,False,echo-web-server-util,FAIL->FAIL,True,echo-web-server-util-source-faithful-detailed-design-rag-v4-eval-001,echo-web-server-util-v4-eval,evaluation,False
experiments/v4/evaluation/rag/ini-cpp-inireader-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_detailed_design_rag_v4,True,False,,v4/evaluation/rag/ini-cpp-inireader-001,,False,class_span,False,ini-cpp-inireader,FAIL->FAIL,True,ini-cpp-inireader-source-faithful-detailed-design-rag-v4-eval-001,ini-cpp-inireader-v4-eval,evaluation,False
experiments/v4/evaluation/rag/ini-cpp-iniwriter-001/evaluation/evaluation_manifest.json,executed_once,True,full_source_source_faithful_detailed_design_rag_v4,True,True,,v4/evaluation/rag/ini-cpp-iniwriter-001,,True,function,True,ini-cpp-iniwriter,PASS->PASS,True,ini-cpp-iniwriter-source-faithful-detailed-design-rag-v4-eval-001,ini-cpp-iniwriter-v4-eval,evaluation,True
experiments/v4/evaluation/rag/riscv-simulator-instruction-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_detailed_design_rag_v4,True,False,,v4/evaluation/rag/riscv-simulator-instruction-001,,False,module_files,False,riscv-simulator-instruction,FAIL->FAIL,True,riscv-simulator-instruction-source-faithful-detailed-design-rag-v4-eval-001,riscv-simulator-instruction-v4-eval,evaluation,False
experiments/v4/evaluation/rag/riscv-simulator-memory-001/evaluation/evaluation_manifest.json,executed_once,True,full_source_source_faithful_detailed_design_rag_v4,True,True,,v4/evaluation/rag/riscv-simulator-memory-001,,True,class_span,True,riscv-simulator-memory,PASS->PASS,True,riscv-simulator-memory-source-faithful-detailed-design-rag-v4-eval-001,riscv-simulator-memory-v4-eval,evaluation,True
experiments/v4/evaluation/rag/riscv-simulator-parser-001/evaluation/evaluation_manifest.json,executed_once,True,full_source_source_faithful_detailed_design_rag_v4,True,False,,v4/evaluation/rag/riscv-simulator-parser-001,,False,class_span,False,riscv-simulator-parser,FAIL->FAIL,True,riscv-simulator-parser-source-faithful-detailed-design-rag-v4-eval-001,riscv-simulator-parser-v4-eval,evaluation,False
experiments/v4/evaluation/rag/riscv-simulator-register-001/evaluation/evaluation_manifest.json,executed_once,True,full_source_source_faithful_detailed_design_rag_v4,True,True,,v4/evaluation/rag/riscv-simulator-register-001,,True,class_span,True,riscv-simulator-register,PASS->PASS,True,riscv-simulator-register-source-faithful-detailed-design-rag-v4-eval-001,riscv-simulator-register-v4-eval,evaluation,True
experiments/v4/evaluation/rag/riscv-simulator-registerfile-001/evaluation/evaluation_manifest.json,executed_once,False,full_source_source_faithful_detailed_design_rag_v4,True,False,,v4/evaluation/rag/riscv-simulator-registerfile-001,,False,class_span,False,riscv-simulator-registerfile,PASS->FAIL,True,riscv-simulator-registerfile-source-faithful-detailed-design-rag-v4-eval-001,riscv-simulator-registerfile-v4-eval,evaluation,True
